,ano,ocupacao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
159,2018,Empregado de entidades sem fins lucrativos,ACRE,830018.0,193369.07181173042,0.23296973295968332
160,2018,Empresário,ACRE,830018.0,33427352.612777427,40.27304541922877
161,2018,MEI,ACRE,830018.0,1367275.2774397433,1.647283887144307
162,2018,Outros,ACRE,830018.0,98680478.48508517,118.88956442521147
163,2018,Servidor ou empregado público,ACRE,830018.0,103425059.07184127,124.6058026113184
183,2019,Aposentado/pensionista,ACRE,830018.0,30058072.87842233,36.213760277996776
184,2019,Autônomo,ACRE,830018.0,24556395.775975894,29.58537739660573
185,2019,Empregado de empresa privada,ACRE,830018.0,23826323.282841366,28.705791058557
186,2019,Empregado de entidades sem fins lucrativos,ACRE,830018.0,368030.26298591745,0.44340033949374286
187,2019,Empresário,ACRE,830018.0,37824585.81506216,45.570801856179216
188,2019,MEI,ACRE,830018.0,2217476.8912285985,2.671600966760478
189,2019,Outros,ACRE,830018.0,121333090.58351462,146.18127628980892
190,2019,Servidor ou empregado público,ACRE,830018.0,132067343.60786709,159.11383079387085
211,2020,Aposentado/pensionista,ACRE,830018.0,35315717.78772451,42.548134844936506
212,2020,Autônomo,ACRE,830018.0,25173143.321401834,30.328430614037085
213,2020,Empregado de empresa privada,ACRE,830018.0,23043265.62132738,27.76236855264269
214,2020,Empregado de entidades sem fins lucrativos,ACRE,830018.0,314487.7030388422,0.3788926300861453
215,2020,Empresário,ACRE,830018.0,37096486.67202461,44.69359299680803
216,2020,MEI,ACRE,830018.0,2705921.1823862786,3.2600753024467886
217,2020,Outros,ACRE,830018.0,117873658.46453027,142.0133761732038
218,2020,Servidor ou empregado público,ACRE,830018.0,126766774.48442735,152.7277414278092
239,2021,Aposentado/pensionista,ACRE,830018.0,38972241.36965557,46.95348940583887
240,2021,Autônomo,ACRE,830018.0,23745053.68858831,28.60787800817369
241,2021,Empregado de empresa privada,ACRE,830018.0,28539235.07151743,34.38387489369801
242,2021,Empregado de entidades sem fins lucrativos,ACRE,830018.0,617596.0099267344,0.7440754416491382
243,2021,Empresário,ACRE,830018.0,41425898.67138827,49.90963891311787
244,2021,MEI,ACRE,830018.0,3260801.3996431134,3.928591186749099
245,2021,Outros,ACRE,830018.0,148774016.17703876,179.2419154488683
246,2021,Servidor ou empregado público,ACRE,830018.0,141697772.97078627,170.71650611286293
267,2022,Aposentado/pensionista,ACRE,830018.0,48721388.20489945,58.69919472216199
268,2022,Autônomo,ACRE,830018.0,34058421.28093179,41.03335262721024
269,2022,Empregado de empresa privada,ACRE,830018.0,47558059.68959925,57.29762449681724
270,2022,Empregado de entidades sem fins lucrativos,ACRE,830018.0,248051.13774941015,0.2988503113780787
271,2022,Empresário,ACRE,830018.0,60690231.056404874,73.1191745918822
272,2022,MEI,ACRE,830018.0,5235723.495491664,6.307963797763017
273,2022,Outros,ACRE,830018.0,221173036.5183156,266.467759155001
274,2022,Servidor ou empregado público,ACRE,830018.0,177036788.3463688,213.2927097320405
295,2012,Aposentado/pensionista,ALAGOAS,3127683.0,76147849.52550757,24.346408995255455
296,2012,Autônomo,ALAGOAS,3127683.0,117104355.01001926,37.441248045284404
297,2012,Empregado de empresa privada,ALAGOAS,3127683.0,89258389.18737318,28.538182797736592
298,2012,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,796442.4669682379,0.25464296316737917
299,2012,Empresário,ALAGOAS,3127683.0,186834704.94817382,59.7358187988277
300,2012,Outros,ALAGOAS,3127683.0,1022352869.9662473,326.87227892540494
301,2012,Servidor ou empregado público,ALAGOAS,3127683.0,242630132.54166296,77.57503958734404
321,2013,Aposentado/pensionista,ALAGOAS,3127683.0,65863384.95800886,21.058203455404165
322,2013,Autônomo,ALAGOAS,3127683.0,121354740.8433423,38.80020476606558
323,2013,Empregado de empresa privada,ALAGOAS,3127683.0,103136368.89474702,32.97532674978475
324,2013,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,450403.803165337,0.1440055795825015
325,2013,Empresário,ALAGOAS,3127683.0,186457268.17115697,59.61514263790703
326,2013,Outros,ALAGOAS,3127683.0,1210199583.1643186,386.9316625643707
327,2013,Servidor ou empregado público,ALAGOAS,3127683.0,226031610.41941532,72.2680688610116
347,2014,Aposentado/pensionista,ALAGOAS,3127683.0,64310151.85791773,20.56159523133186
348,2014,Autônomo,ALAGOAS,3127683.0,117948147.65527205,37.71103006771212
349,2014,Empregado de empresa privada,ALAGOAS,3127683.0,97915857.85322021,31.306196265165045
350,2014,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,300189.5131722838,0.09597824113642074
351,2014,Empresário,ALAGOAS,3127683.0,178238541.59837466,56.98740620400938
352,2014,Outros,ALAGOAS,3127683.0,1219952092.7714095,390.0497885404018
353,2014,Servidor ou empregado público,ALAGOAS,3127683.0,220159640.08053264,70.39065022910974
373,2015,Aposentado/pensionista,ALAGOAS,3127683.0,63665705.59962378,20.3555493314456
374,2015,Autônomo,ALAGOAS,3127683.0,133081321.3076287,42.549491526995766
375,2015,Empregado de empresa privada,ALAGOAS,3127683.0,88830490.38382617,28.40137264033029
376,2015,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,509135.385588641,0.1627835639317159
377,2015,Empresário,ALAGOAS,3127683.0,203683836.79298216,65.12291584312801
378,2015,Outros,ALAGOAS,3127683.0,1319050788.4470086,421.7341682155796
379,2015,Servidor ou empregado público,ALAGOAS,3127683.0,207617114.09950757,66.3804848827415
399,2016,Aposentado/pensionista,ALAGOAS,3127683.0,82787931.60001789,26.469412533181238
400,2016,Autônomo,ALAGOAS,3127683.0,62828099.240944594,20.087745222563985
401,2016,Empregado de empresa privada,ALAGOAS,3127683.0,108347162.71129555,34.641350389823884
402,2016,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,454814.7176993971,0.14541586142182475
403,2016,Empresário,ALAGOAS,3127683.0,157682160.59064996,50.41500708052893
404,2016,MEI,ALAGOAS,3127683.0,7655063.439159636,2.4475189586539416
405,2016,Outros,ALAGOAS,3127683.0,1281655502.8912866,409.77794197534934
406,2016,Servidor ou empregado público,ALAGOAS,3127683.0,235365344.79526636,75.25230171832196
426,2017,Aposentado/pensionista,ALAGOAS,3127683.0,117741826.76261167,37.64506401787255
427,2017,Autônomo,ALAGOAS,3127683.0,144313075.50036153,46.14056971258326
428,2017,Empregado de empresa privada,ALAGOAS,3127683.0,151120670.52571157,48.31713141188271
429,2017,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,1203127.7666837114,0.38467062252910905
430,2017,Empresário,ALAGOAS,3127683.0,222957941.97152448,71.28533869050172
431,2017,MEI,ALAGOAS,3127683.0,17042676.41959853,5.448978179565682
432,2017,Outros,ALAGOAS,3127683.0,801065568.6505473,256.1210866480226
433,2017,Servidor ou empregado público,ALAGOAS,3127683.0,261046253.77668908,83.4631430924071
453,2018,Aposentado/pensionista,ALAGOAS,3127683.0,135161390.95409504,43.2145428274205
454,2018,Autônomo,ALAGOAS,3127683.0,138177653.66482654,44.17891892011644
455,2018,Empregado de empresa privada,ALAGOAS,3127683.0,158763953.47461748,50.760883847441534
456,2018,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,1255733.219465225,0.401489927037115
457,2018,Empresário,ALAGOAS,3127683.0,194446491.60351822,62.16950106629036
458,2018,MEI,ALAGOAS,3127683.0,23700887.372289695,7.577777982068418
459,2018,Outros,ALAGOAS,3127683.0,776120471.2535373,248.14550299807792
460,2018,Servidor ou empregado público,ALAGOAS,3127683.0,242488827.46573737,77.5298607517889
481,2019,Aposentado/pensionista,ALAGOAS,3127683.0,143717744.9290245,45.95022735009414
482,2019,Autônomo,ALAGOAS,3127683.0,144207363.11347687,46.10677076720271
483,2019,Empregado de empresa privada,ALAGOAS,3127683.0,182877791.20310894,58.47069258716722
484,2019,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,1009234.7929329042,0.32267809523308605
485,2019,Empresário,ALAGOAS,3127683.0,206915488.36293292,66.1561572457736
486,2019,MEI,ALAGOAS,3127683.0,25854618.06733836,8.26638059782221
487,2019,Outros,ALAGOAS,3127683.0,880564861.2917795,281.53903745737006
488,2019,Servidor ou empregado público,ALAGOAS,3127683.0,273148951.46057576,87.3326841181078
509,2020,Aposentado/pensionista,ALAGOAS,3127683.0,150230525.0625537,48.032529211737156
510,2020,Autônomo,ALAGOAS,3127683.0,143569386.35154423,45.902793330252535
511,2020,Empregado de empresa privada,ALAGOAS,3127683.0,200655435.90667713,64.1546588662205
512,2020,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,1534637.836645045,0.4906628442348681
513,2020,Empresário,ALAGOAS,3127683.0,209251253.4876855,66.90296090994052
514,2020,MEI,ALAGOAS,3127683.0,30761280.781888448,9.835165770280572
515,2020,Outros,ALAGOAS,3127683.0,869053568.7278425,277.8585837272647
516,2020,Servidor ou empregado público,ALAGOAS,3127683.0,281856894.8004197,90.11683562573947
537,2021,Aposentado/pensionista,ALAGOAS,3127683.0,152933529.64928356,48.89674869521098
538,2021,Autônomo,ALAGOAS,3127683.0,147115069.545189,47.036438649693395
539,2021,Empregado de empresa privada,ALAGOAS,3127683.0,231878972.0141089,74.13761944995989
540,2021,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,1286622.3340666187,0.41136596453880353
541,2021,Empresário,ALAGOAS,3127683.0,213525474.33238113,68.26953829156635
542,2021,MEI,ALAGOAS,3127683.0,35636949.694198795,11.394041433930099
543,2021,Outros,ALAGOAS,3127683.0,1130592618.8519497,361.4792863765125
544,2021,Servidor ou empregado público,ALAGOAS,3127683.0,299852284.6189263,95.87042056977202
565,2022,Aposentado/pensionista,ALAGOAS,3127683.0,158774518.01636535,50.76426160079693
566,2022,Autônomo,ALAGOAS,3127683.0,187900278.05464303,60.076509689326905
567,2022,Empregado de empresa privada,ALAGOAS,3127683.0,319991016.5124468,102.30928662286006
568,2022,Empregado de entidades sem fins lucrativos,ALAGOAS,3127683.0,1178484.0705198823,0.37679140453808213
569,2022,Empresário,ALAGOAS,3127683.0,268529329.0949233,85.85567306370989
570,2022,MEI,ALAGOAS,3127683.0,50888395.19840702,16.270317419766332
571,2022,Outros,ALAGOAS,3127683.0,1477883848.3838086,472.5171471609523
572,2022,Servidor ou empregado público,ALAGOAS,3127683.0,374576834.5565109,119.76176439764225
593,2012,Aposentado/pensionista,AMAZONAS,3941613.0,57496731.342670366,14.587107192580897
594,2012,Autônomo,AMAZONAS,3941613.0,120409919.04281199,30.548386927588272
595,2012,Empregado de empresa privada,AMAZONAS,3941613.0,223818353.02503556,56.78344196272835
596,2012,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,2477251.3379129367,0.6284866976826331
597,2012,Empresário,AMAZONAS,3941613.0,149717157.3526816,37.9837283245924
598,2012,Outros,AMAZONAS,3941613.0,805047202.9583856,204.24308600524344
599,2012,Servidor ou empregado público,AMAZONAS,3941613.0,375400039.79552037,95.24020744693108
619,2013,Aposentado/pensionista,AMAZONAS,3941613.0,59257051.831369065,15.033706208947724
620,2013,Autônomo,AMAZONAS,3941613.0,133589184.67034544,33.89200935514101
621,2013,Empregado de empresa privada,AMAZONAS,3941613.0,258600081.98328793,65.60767938995734
622,2013,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,2312603.1893985774,0.5867149284819635
623,2013,Empresário,AMAZONAS,3941613.0,155452962.87077606,39.43892078465746
624,2013,Outros,AMAZONAS,3941613.0,934975705.2408333,237.20636836767923
625,2013,Servidor ou empregado público,AMAZONAS,3941613.0,413747437.7616397,104.9690666642412
645,2014,Aposentado/pensionista,AMAZONAS,3941613.0,58677614.5362787,14.886701088178546
646,2014,Autônomo,AMAZONAS,3941613.0,116637490.1520638,29.59130948473729
647,2014,Empregado de empresa privada,AMAZONAS,3941613.0,234560561.52803454,59.50877509487475
648,2014,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,1718809.9870821857,0.4360676674960697
649,2014,Empresário,AMAZONAS,3941613.0,134286232.3717111,34.068852617370375
650,2014,Outros,AMAZONAS,3941613.0,972847101.0155052,246.81446428543472
651,2014,Servidor ou empregado público,AMAZONAS,3941613.0,369670669.3678876,93.78664759018392
671,2015,Aposentado/pensionista,AMAZONAS,3941613.0,48356602.80017535,12.268226941654431
672,2015,Autônomo,AMAZONAS,3941613.0,134149368.99107641,34.03412993388149
673,2015,Empregado de empresa privada,AMAZONAS,3941613.0,237349219.4967635,60.21626666462778
674,2015,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,3160702.7685154662,0.8018805419292727
675,2015,Empresário,AMAZONAS,3941613.0,145461740.95175523,36.90411538417273
676,2015,Outros,AMAZONAS,3941613.0,985983235.0918628,250.14714409858675
677,2015,Servidor ou empregado público,AMAZONAS,3941613.0,352943249.66718715,89.54284696828104
698,2016,Aposentado/pensionista,AMAZONAS,3941613.0,97486110.68864568,24.732542410593247
699,2016,Autônomo,AMAZONAS,3941613.0,86567976.90248203,21.962576463615793
700,2016,Empregado de empresa privada,AMAZONAS,3941613.0,222468306.22599375,56.44093071186688
701,2016,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,2020561.6345956866,0.5126230389933478
702,2016,Empresário,AMAZONAS,3941613.0,211713434.42614436,53.71238486024487
703,2016,MEI,AMAZONAS,3941613.0,9501542.847197546,2.41057223202723
704,2016,Outros,AMAZONAS,3941613.0,1023064967.8013924,259.5548999359888
705,2016,Servidor ou empregado público,AMAZONAS,3941613.0,461249442.38445455,117.02047927700019
726,2017,Aposentado/pensionista,AMAZONAS,3941613.0,118527356.97590987,30.07077482642509
727,2017,Autônomo,AMAZONAS,3941613.0,132718716.12010047,33.6711686611802
728,2017,Empregado de empresa privada,AMAZONAS,3941613.0,268453517.94615716,68.10752804655282
729,2017,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,3684298.9204014074,0.9347185835853006
730,2017,Empresário,AMAZONAS,3941613.0,209157932.85790065,53.06404582537673
731,2017,MEI,AMAZONAS,3941613.0,12658159.65194868,3.2114161516994892
732,2017,Outros,AMAZONAS,3941613.0,426286682.6980531,108.15031376699162
733,2017,Servidor ou empregado público,AMAZONAS,3941613.0,461516021.94885343,117.08811137695493
754,2018,Aposentado/pensionista,AMAZONAS,3941613.0,128449020.49185675,32.58793303448531
755,2018,Autônomo,AMAZONAS,3941613.0,119349197.53507878,30.279278441358596
756,2018,Empregado de empresa privada,AMAZONAS,3941613.0,247971051.62911516,62.91105992118332
757,2018,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,2429874.990919076,0.6164671648178235
758,2018,Empresário,AMAZONAS,3941613.0,194101596.7005799,49.244204517434845
759,2018,MEI,AMAZONAS,3941613.0,15715866.998735432,3.9871664211416573
760,2018,Outros,AMAZONAS,3941613.0,387228524.40971977,98.2411323510755
761,2018,Servidor ou empregado público,AMAZONAS,3941613.0,386465838.2329683,98.04763639478769
782,2019,Aposentado/pensionista,AMAZONAS,3941613.0,134663012.75083017,34.16444302137987
783,2019,Autônomo,AMAZONAS,3941613.0,136995737.4330827,34.75626283784905
784,2019,Empregado de empresa privada,AMAZONAS,3941613.0,281942486.82099617,71.5297231922556
785,2019,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,2481557.418851628,0.6295791643805793
786,2019,Empresário,AMAZONAS,3941613.0,197305445.78942066,50.057031420745936
787,2019,MEI,AMAZONAS,3941613.0,17178930.879645966,4.358350472166082
788,2019,Outros,AMAZONAS,3941613.0,474259151.7231335,120.32108472423181
789,2019,Servidor ou empregado público,AMAZONAS,3941613.0,394083951.8224984,99.98037651654244
810,2020,Aposentado/pensionista,AMAZONAS,3941613.0,164518174.13815454,41.738794279944415
811,2020,Autônomo,AMAZONAS,3941613.0,124230290.89414163,31.517627655008656
812,2020,Empregado de empresa privada,AMAZONAS,3941613.0,317042991.13933665,80.4348349620667
813,2020,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,2417605.011749429,0.6133542313132794
814,2020,Empresário,AMAZONAS,3941613.0,210339003.9813889,53.36368739939434
815,2020,MEI,AMAZONAS,3941613.0,24556371.46393412,6.2300310720342456
816,2020,Outros,AMAZONAS,3941613.0,494146616.9915052,125.3665991540786
817,2020,Servidor ou empregado público,AMAZONAS,3941613.0,491962694.594468,124.81253095990601
838,2021,Aposentado/pensionista,AMAZONAS,3941613.0,186555285.23845497,47.329680828243404
839,2021,Autônomo,AMAZONAS,3941613.0,122872333.32821856,31.173109416936306
840,2021,Empregado de empresa privada,AMAZONAS,3941613.0,394321297.61993235,100.04059191501864
841,2021,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,3005978.623690471,0.7626265246462479
842,2021,Empresário,AMAZONAS,3941613.0,222241916.4733264,56.38349489747634
843,2021,MEI,AMAZONAS,3941613.0,30216733.859508667,7.666083367268341
844,2021,Outros,AMAZONAS,3941613.0,690811338.8640586,175.26107683936974
845,2021,Servidor ou empregado público,AMAZONAS,3941613.0,610927658.4096014,154.99432806051772
866,2022,Aposentado/pensionista,AMAZONAS,3941613.0,216707235.1875146,54.97932830734894
867,2022,Autônomo,AMAZONAS,3941613.0,181924607.7853292,46.15486294198065
868,2022,Empregado de empresa privada,AMAZONAS,3941613.0,622430660.4167455,157.91267697177412
869,2022,Empregado de entidades sem fins lucrativos,AMAZONAS,3941613.0,3639065.2297333675,0.9232426495785779
870,2022,Empresário,AMAZONAS,3941613.0,333385620.8494735,84.58101311556297
871,2022,MEI,AMAZONAS,3941613.0,53354829.88052998,13.536293360238556
872,2022,Outros,AMAZONAS,3941613.0,1137804959.7712488,288.6648079786749
873,2022,Servidor ou empregado público,AMAZONAS,3941613.0,871330546.5053884,221.05938520737283
894,2012,Aposentado/pensionista,AMAPÁ,733759.0,17744641.235965572,24.183200800215836
895,2012,Autônomo,AMAPÁ,733759.0,12213227.778810717,16.64474000156825
896,2012,Empregado de empresa privada,AMAPÁ,733759.0,18737714.141375873,25.536605535844703
897,2012,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,495740.7269714696,0.6756179167430582
898,2012,Empresário,AMAPÁ,733759.0,35744689.92826326,48.71448245031851
899,2012,Outros,AMAPÁ,733759.0,222246523.94313896,302.88762923949
900,2012,Servidor ou empregado público,AMAPÁ,733759.0,241879510.7907995,329.6443529698436
919,2013,Aposentado/pensionista,AMAPÁ,733759.0,12881025.302416515,17.55484471388632
920,2013,Autônomo,AMAPÁ,733759.0,12089751.799101697,16.476461343713257
921,2013,Empregado de empresa privada,AMAPÁ,733759.0,16029560.664971938,21.84581131539366
922,2013,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,581606.7867333988,0.7926400721945472
923,2013,Empresário,AMAPÁ,733759.0,28392416.44233957,38.694471130629495
924,2013,Outros,AMAPÁ,733759.0,205365063.36628014,279.8808101383154
925,2013,Servidor ou empregado público,AMAPÁ,733759.0,192308645.0660917,262.0869319028342
945,2014,Aposentado/pensionista,AMAPÁ,733759.0,10884731.141711464,14.834204611747813
946,2014,Autônomo,AMAPÁ,733759.0,9096882.865478208,12.397644002292589
947,2014,Empregado de empresa privada,AMAPÁ,733759.0,15637131.845017862,21.31099154493214
948,2014,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,138669.91084489395,0.18898563539921684
949,2014,Empresário,AMAPÁ,733759.0,25379506.574605715,34.58834109647134
950,2014,Outros,AMAPÁ,733759.0,193480090.9148388,263.683431364847
951,2014,Servidor ou empregado público,AMAPÁ,733759.0,168289920.3061032,229.35312589842604
971,2015,Aposentado/pensionista,AMAPÁ,733759.0,11227949.052712679,15.301957526534842
972,2015,Autônomo,AMAPÁ,733759.0,11924374.584000828,16.251077784396276
973,2015,Empregado de empresa privada,AMAPÁ,733759.0,17473416.97094417,23.813564087042433
974,2015,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,244762.79985154662,0.3335738298972096
975,2015,Empresário,AMAPÁ,733759.0,27144369.305210352,36.99357596323909
976,2015,Outros,AMAPÁ,733759.0,227861061.15278852,310.53937485303555
977,2015,Servidor ou empregado público,AMAPÁ,733759.0,190660976.38694748,259.84141439757127
997,2016,Aposentado/pensionista,AMAPÁ,733759.0,22004171.07356281,29.98828099357256
998,2016,Autônomo,AMAPÁ,733759.0,6200261.497903463,8.449997203309893
999,2016,Empregado de empresa privada,AMAPÁ,733759.0,16088467.427693188,21.92609211974666
1000,2016,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,43044.65770491658,0.05866320918028478
1001,2016,Empresário,AMAPÁ,733759.0,31554682.182709225,43.00415011292431
1002,2016,MEI,AMAPÁ,733759.0,924695.5987187442,1.2602170449953516
1003,2016,Outros,AMAPÁ,733759.0,180090240.44756472,245.4351366696214
1004,2016,Servidor ou empregado público,AMAPÁ,733759.0,212427075.41418165,289.50524002319787
1024,2017,Aposentado/pensionista,AMAPÁ,733759.0,31866367.526981913,43.428929017541066
1025,2017,Autônomo,AMAPÁ,733759.0,11581391.435151832,15.783644814103585
1026,2017,Empregado de empresa privada,AMAPÁ,733759.0,24294185.861710977,33.10921687054057
1027,2017,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,205154.8524137823,0.27959432513097937
1028,2017,Empresário,AMAPÁ,733759.0,32738828.716945916,44.61795864438585
1029,2017,MEI,AMAPÁ,733759.0,1267104.9580457315,1.7268680289382912
1030,2017,Outros,AMAPÁ,733759.0,79211292.96544325,107.95273784095767
1031,2017,Servidor ou empregado público,AMAPÁ,733759.0,253801912.33174172,345.89274180179285
1051,2018,Aposentado/pensionista,AMAPÁ,733759.0,35661934.882573135,48.60170012575401
1052,2018,Autônomo,AMAPÁ,733759.0,11074572.249225175,15.092928671709887
1053,2018,Empregado de empresa privada,AMAPÁ,733759.0,21128040.04295658,28.794249941679187
1054,2018,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,90225.64858605582,0.12296360056374889
1055,2018,Empresário,AMAPÁ,733759.0,31203821.447085954,42.52598121056908
1056,2018,MEI,AMAPÁ,733759.0,1234905.7319587874,1.6829854651987743
1057,2018,Outros,AMAPÁ,733759.0,76493396.22165485,104.24866505440458
1058,2018,Servidor ou empregado público,AMAPÁ,733759.0,225530513.9291365,307.3631995370912
1079,2019,Aposentado/pensionista,AMAPÁ,733759.0,44508156.89452225,60.657732163451826
1080,2019,Autônomo,AMAPÁ,733759.0,14446090.119908463,19.687785935039248
1081,2019,Empregado de empresa privada,AMAPÁ,733759.0,24141582.542812783,32.901242155548054
1082,2019,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,172548.3126827184,0.2351566559084364
1083,2019,Empresário,AMAPÁ,733759.0,37165381.92607163,50.650665853599925
1084,2019,MEI,AMAPÁ,733759.0,2174445.6771558304,2.9634330579329595
1085,2019,Outros,AMAPÁ,733759.0,99966937.96320365,136.239470947823
1086,2019,Servidor ou empregado público,AMAPÁ,733759.0,217010678.94098088,295.75198251875736
1107,2020,Aposentado/pensionista,AMAPÁ,733759.0,54766014.80204767,74.6376055381231
1108,2020,Autônomo,AMAPÁ,733759.0,12836692.476978226,17.49442593137287
1109,2020,Empregado de empresa privada,AMAPÁ,733759.0,26722760.95074886,36.418989001496215
1110,2020,Empregado de entidades sem fins lucrativos,AMAPÁ,733759.0,221471.74050260798,0.3018317192737779
1111,2020,Empresário,AMAPÁ,733759.0,32551648.55036724,44.36286103525441
1112,2020,MEI,AMAPÁ,733759.0,2128629.001713754,2.900992017425005
1113,2020,Outros,AMAPÁ,733759.0,94891745.31261642,129.32276852838115
1114,2020,Servidor ou empregado público,AMAPÁ,733759.0,223431522.49914843,304.5025989448149
1135,2021,Aposentado/pensionista,AMAPÁ,733759.0,47404472.672258385,64.60496249076111
1136,2021,Autônomo,AMAPÁ,733759.0,14943963.559338342,20.36631040891947
1137,2021,Empregado de empresa privada,AMAPÁ,733759.0,33000993.852285203,44.975249165305236
