,data_base,ocupacao,modalidade,carteira_ativa,carteira_ativa_deflacionada
24,2012-06-30,Empregado de entidades sem fins lucrativos,Habitacional,333763004.27,620933616.1871654
18,2012-06-30,Empregado de empresa privada,Outros créditos,9980620675.18,18567974306.15933
19,2012-06-30,Empregado de empresa privada,Rural e agroindustrial,2866955114.48,5333691223.7290945
20,2012-06-30,Empregado de empresa privada,Veículos,28911516544.35,53787065335.78478
21,2012-06-30,Empregado de entidades sem fins lucrativos,Cartão de crédito,114093559.02,212259972.73395282
22,2012-06-30,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,93338601.8,173647392.92268315
23,2012-06-30,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,82720156.57,153892808.05079147
13,2012-06-30,Autônomo,Veículos,17618063188.14,32776693479.113228
125,2012-07-31,Empregado de empresa privada,Habitacional,52571658527.91,97726388787.77419
126,2012-07-31,Empregado de empresa privada,Outros créditos,10314043494.949999,19172958449.206608
127,2012-07-31,Empregado de empresa privada,Rural e agroindustrial,2829874463.89,5260503849.843114
128,2012-07-31,Empregado de empresa privada,Veículos,28733701371.47,53413587285.80541
133,2012-07-31,Empregado de entidades sem fins lucrativos,Outros créditos,79272899.87,147361800.06413618
130,2012-07-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,98436270.21,182984929.19438222
131,2012-07-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,83071157.61,154422448.76743606
132,2012-07-31,Empregado de entidades sem fins lucrativos,Habitacional,343662910.02,638841080.8596102
124,2012-07-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10335745364.65,19213300439.83637
129,2012-07-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,117860538.79,219093046.6919394
123,2012-07-31,Empregado de empresa privada,Empréstimo com consignação em folha,10997368715.539999,20443203825.627773
110,2012-07-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7540536112.35,14017236366.863834
121,2012-07-31,Autônomo,Veículos,17485370779.68,32503865975.736923
119,2012-07-31,Autônomo,Outros créditos,8776524124.35,16314836411.831297
118,2012-07-31,Autônomo,Habitacional,16974453665.28,31554113086.855274
117,2012-07-31,Autônomo,Empréstimo sem consignação em folha,7094185045.08,13187506448.552275
116,2012-07-31,Autônomo,Empréstimo com consignação em folha,3206767600.25,5961117188.031919
115,2012-07-31,Autônomo,Cartão de crédito,7645115930.47,14211641646.269733
114,2012-07-31,Aposentado/pensionista,Veículos,8486861637.68,15776377676.037039
113,2012-07-31,Aposentado/pensionista,Rural e agroindustrial,1936743457.53,3600246775.784559
112,2012-07-31,Aposentado/pensionista,Outros créditos,3399111322.73,6318668346.3996725
111,2012-07-31,Aposentado/pensionista,Habitacional,3810838349.76,7084035021.993649
134,2012-07-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,80973976.87,150523962.2807169
122,2012-07-31,Empregado de empresa privada,Cartão de crédito,14577501883.6,27098376892.08318
135,2012-07-31,Empregado de entidades sem fins lucrativos,Veículos,193468121.71,359641324.04600257
148,2012-07-31,Outros,Cartão de crédito,39516744419.43,73458377325.30539
137,2012-07-31,Empresário,Empréstimo com consignação em folha,4447543473.78,8267617473.745912
109,2012-07-31,Aposentado/pensionista,Empréstimo com consignação em folha,25360029579.88,47142208935.2016
161,2012-07-31,Servidor ou empregado público,Veículos,23421270250.5,43538214819.46856
160,2012-07-31,Servidor ou empregado público,Rural e agroindustrial,2710419655.54,5038447187.179836
159,2012-07-31,Servidor ou empregado público,Outros créditos,7543100845.58,14022003994.969744
158,2012-07-31,Servidor ou empregado público,Habitacional,37408575801.33,69539465277.03421
157,2012-07-31,Servidor ou empregado público,Empréstimo sem consignação em folha,13745303310.289999,25551388198.912167
156,2012-07-31,Servidor ou empregado público,Empréstimo com consignação em folha,59245786250.26,110133043226.25586
155,2012-07-31,Servidor ou empregado público,Cartão de crédito,14295868060.78,26574842781.967888
154,2012-07-31,Outros,Veículos,104744565064.34,194711530423.74722
153,2012-07-31,Outros,Rural e agroindustrial,39267682257.12,72995391252.81334
152,2012-07-31,Outros,Outros créditos,29410608834.15,54671902578.1809
136,2012-07-31,Empresário,Cartão de crédito,14367739565.81,26708445997.845036
151,2012-07-31,Outros,Habitacional,75482752437.77,140316227755.8467
149,2012-07-31,Outros,Empréstimo com consignação em folha,68928609697.91,128132615530.14374
147,2012-07-31,MEI,Veículos,37624.61,69941.05508191873
146,2012-07-31,MEI,Outros créditos,21447.18,39868.54342760831
145,2012-07-31,MEI,Empréstimo sem consignação em folha,7872.62,14634.552997599578
144,2012-07-31,MEI,Empréstimo com consignação em folha,46446.11,86339.49794697823
143,2012-07-31,MEI,Cartão de crédito,6771.2300000000005,12587.159585237976
142,2012-07-31,Empresário,Veículos,25963190358.94,48263435208.948715
141,2012-07-31,Empresário,Rural e agroindustrial,40657693262.7,75579307373.29256
140,2012-07-31,Empresário,Outros créditos,18599743231.61,34575392698.331764
139,2012-07-31,Empresário,Habitacional,30340612917.68,56400703669.60965
138,2012-07-31,Empresário,Empréstimo sem consignação em folha,13405462982.7,24919652984.35368
150,2012-07-31,Outros,Empréstimo sem consignação em folha,31379393905.2,58331712077.83465
108,2012-07-31,Aposentado/pensionista,Cartão de crédito,6090203796.38,11321187892.252548
120,2012-07-31,Autônomo,Rural e agroindustrial,16112551049.49,29951907022.09558
325,2012-08-31,Aposentado/pensionista,Empréstimo com consignação em folha,25455664332.21,47117323354.35213
354,2012-08-31,Empresário,Empréstimo sem consignação em folha,13683538965.86,25327633239.981865
355,2012-08-31,Empresário,Habitacional,31269744464.45,57878931852.31756
356,2012-08-31,Empresário,Outros créditos,18848107404.49,34887023948.97638
357,2012-08-31,Empresário,Rural e agroindustrial,42066654855.64,77863541622.88086
358,2012-08-31,Empresário,Veículos,26071596144.2,48257386248.450066
359,2012-08-31,MEI,Cartão de crédito,8181.47,15143.543789433057
360,2012-08-31,MEI,Empréstimo com consignação em folha,43802.51,81076.53371241102
361,2012-08-31,MEI,Empréstimo sem consignação em folha,7701.85,14255.788108328332
362,2012-08-31,MEI,Outros créditos,20823.06,38542.57498224548
363,2012-08-31,MEI,Veículos,36930.3,68356.3730242731
365,2012-08-31,Outros,Empréstimo com consignação em folha,69999929084.29,129566812729.88278
353,2012-08-31,Empresário,Empréstimo com consignação em folha,4547702067.27,8417597986.30301
366,2012-08-31,Outros,Empréstimo sem consignação em folha,31614256939.33,58516609402.84958
368,2012-08-31,Outros,Outros créditos,30026151820.28,55577096159.806885
369,2012-08-31,Outros,Rural e agroindustrial,42240726213.01,78185740105.89413
370,2012-08-31,Outros,Veículos,105542516792.05,195354590884.93668
371,2012-08-31,Servidor ou empregado público,Cartão de crédito,14187559071.68,26260552451.717636
372,2012-08-31,Servidor ou empregado público,Empréstimo com consignação em folha,60339574609.3,111685918341.28801
373,2012-08-31,Servidor ou empregado público,Empréstimo sem consignação em folha,13831758361.75,25601980870.92148
374,2012-08-31,Servidor ou empregado público,Habitacional,38422730113.63,71118796009.19199
375,2012-08-31,Servidor ou empregado público,Outros créditos,7674564506.89,14205283851.791601
376,2012-08-31,Servidor ou empregado público,Rural e agroindustrial,2804253738.1,5190551243.187188
377,2012-08-31,Servidor ou empregado público,Veículos,23739616474.3,43940993687.30906
324,2012-08-31,Aposentado/pensionista,Cartão de crédito,6150133087.79,11383627847.537056
367,2012-08-31,Outros,Habitacional,78629900545.74,145540513144.1147
352,2012-08-31,Empresário,Cartão de crédito,14492798362.45,26825537053.02168
364,2012-08-31,Outros,Cartão de crédito,40063094105.35,74155038144.06764
350,2012-08-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,88521583.42,163849586.30059406
351,2012-08-31,Empregado de entidades sem fins lucrativos,Veículos,194247335.59,359543337.87056154
327,2012-08-31,Aposentado/pensionista,Habitacional,3876020850.33,7174345377.50892
328,2012-08-31,Aposentado/pensionista,Outros créditos,3478900665.55,6439293252.660492
329,2012-08-31,Aposentado/pensionista,Rural e agroindustrial,2003178371.04,3707795711.5150967
330,2012-08-31,Aposentado/pensionista,Veículos,8557087594.82,15838795559.009695
331,2012-08-31,Autônomo,Cartão de crédito,7717991250.62,14285664858.543167
332,2012-08-31,Autônomo,Empréstimo com consignação em folha,3278063198.61,6067551869.368161
333,2012-08-31,Autônomo,Empréstimo sem consignação em folha,7117713819.69,13174577540.359903
335,2012-08-31,Autônomo,Outros créditos,8866650510.14,16411783000.598185
336,2012-08-31,Autônomo,Rural e agroindustrial,16912820272.06,31304891956.1829
337,2012-08-31,Autônomo,Veículos,17567861722.84,32517345084.261436
338,2012-08-31,Empregado de empresa privada,Cartão de crédito,14658889378.52,27132964272.688496
334,2012-08-31,Autônomo,Habitacional,17522529472.6,32433437068.149048
339,2012-08-31,Empregado de empresa privada,Empréstimo com consignação em folha,11224435413.38,20775939922.065735
349,2012-08-31,Empregado de entidades sem fins lucrativos,Outros créditos,79401376.75,146968481.91766232
347,2012-08-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,82973662.32000001,153580626.5515307
346,2012-08-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,100438869.98,185907963.44707042
345,2012-08-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,118763489.47,219826034.12037405
344,2012-08-31,Empregado de empresa privada,Veículos,28892652946.54,53479039229.96974
348,2012-08-31,Empregado de entidades sem fins lucrativos,Habitacional,352455771.71,652380246.1817749
342,2012-08-31,Empregado de empresa privada,Outros créditos,10550024902.380001,19527635509.12009
343,2012-08-31,Empregado de empresa privada,Rural e agroindustrial,2958959000.06,5476903929.067228
340,2012-08-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10387472540.09,19226758183.11212
326,2012-08-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7569644888.59,14011082218.821407
341,2012-08-31,Empregado de empresa privada,Habitacional,53958947287.53,99875655729.40077
294,2012-09-30,Empregado de entidades sem fins lucrativos,Habitacional,354279528.54,653078425.3384155
293,2012-09-30,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,82594799.47,152255146.66710296
292,2012-09-30,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,100276935.15,184850372.7421281
291,2012-09-30,Empregado de entidades sem fins lucrativos,Cartão de crédito,116373773.55,214523263.85870308
283,2012-09-30,Autônomo,Veículos,17378319401.4,32035171539.449932
289,2012-09-30,Empregado de empresa privada,Rural e agroindustrial,3040884866.61,5605563235.632606
288,2012-09-30,Empregado de empresa privada,Outros créditos,10437602418.28,19240662817.09843
287,2012-09-30,Empregado de empresa privada,Habitacional,54340786760.44,100171736129.96921
286,2012-09-30,Empregado de empresa privada,Empréstimo sem consignação em folha,10374006083.94,19123429416.51437
285,2012-09-30,Empregado de empresa privada,Empréstimo com consignação em folha,11156360974.07,20565621410.52404
284,2012-09-30,Empregado de empresa privada,Cartão de crédito,14381967801.73,26511700870.577267
290,2012-09-30,Empregado de empresa privada,Veículos,28549194964.46,52627549124.57172
271,2012-09-30,Aposentado/pensionista,Empréstimo com consignação em folha,25395891323.28,46814753265.09203
281,2012-09-30,Autônomo,Outros créditos,8950019168.07,16498453774.95994
280,2012-09-30,Autônomo,Habitacional,17745024194.14,32711154680.76669
279,2012-09-30,Autônomo,Empréstimo sem consignação em folha,7099195919.96,13086648589.83777
278,2012-09-30,Autônomo,Empréstimo com consignação em folha,3246684912.37,5984934774.184091
277,2012-09-30,Autônomo,Cartão de crédito,7590505932.57,13992328832.528135
276,2012-09-30,Aposentado/pensionista,Veículos,8444753787.44,15567048224.88566
275,2012-09-30,Aposentado/pensionista,Rural e agroindustrial,2020045619.26,3723749485.539736
274,2012-09-30,Aposentado/pensionista,Outros créditos,3347097058.93,6170034395.46478
273,2012-09-30,Aposentado/pensionista,Habitacional,3843371070.35,7084865267.150212
272,2012-09-30,Aposentado/pensionista,Empréstimo sem consignação em folha,7521301640.04,13864757729.059626
270,2012-09-30,Aposentado/pensionista,Cartão de crédito,6010385871.38,11079537552.545685
295,2012-09-30,Empregado de entidades sem fins lucrativos,Outros créditos,79102102.38,145816713.3624145
282,2012-09-30,Autônomo,Rural e agroindustrial,17320896919.87,31929319011.161938
296,2012-09-30,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,90243800.42999999,166355305.1576459
311,2012-09-30,Outros,Empréstimo com consignação em folha,68201939530.41,125723367243.66241
298,2012-09-30,Empresário,Cartão de crédito,14239576243.57,26249216456.171944
297,2012-09-30,Empregado de entidades sem fins lucrativos,Veículos,192129237.74,354170788.7040457
323,2012-09-30,Servidor ou empregado público,Veículos,23465810238.54,43256844286.29214
322,2012-09-30,Servidor ou empregado público,Rural e agroindustrial,2857540877.81,5267587163.477906
321,2012-09-30,Servidor ou empregado público,Outros créditos,7606164611.13,14021194020.361565
320,2012-09-30,Servidor ou empregado público,Habitacional,38491287856.67,70954790321.29152
319,2012-09-30,Servidor ou empregado público,Empréstimo sem consignação em folha,13905674232.64,25633701920.477074
318,2012-09-30,Servidor ou empregado público,Empréstimo com consignação em folha,59169898231.23,109073713978.15056
316,2012-09-30,Outros,Veículos,104763406510.16,193120728252.91336
315,2012-09-30,Outros,Rural e agroindustrial,43504881449.73,80196842275.39622
314,2012-09-30,Outros,Outros créditos,29353023610.1,54109325811.753944
313,2012-09-30,Outros,Habitacional,80576143180.03,148533958269.38202
312,2012-09-30,Outros,Empréstimo sem consignação em folha,31670887810.59,58382073685.28338
317,2012-09-30,Servidor ou empregado público,Cartão de crédito,13908720882.37,25639318110.654438
309,2012-09-30,MEI,Veículos,36890.53,68003.95535577614
310,2012-09-30,Outros,Cartão de crédito,39532794839.59,72874702948.44057
300,2012-09-30,Empresário,Empréstimo sem consignação em folha,13935881577.47,25689386100.922188
301,2012-09-30,Empresário,Habitacional,31726752949.35,58485055409.92055
302,2012-09-30,Empresário,Outros créditos,18540323290.67,34177208008.135937
303,2012-09-30,Empresário,Rural e agroindustrial,42855974267.53,79000647613.82938
299,2012-09-30,Empresário,Empréstimo com consignação em folha,4496013135.51,8287944807.141701
305,2012-09-30,MEI,Cartão de crédito,10034.62,18497.80554771586
306,2012-09-30,MEI,Empréstimo com consignação em folha,40233.56,74166.49254006219
307,2012-09-30,MEI,Empréstimo sem consignação em folha,7515.3,13853.694313561351
308,2012-09-30,MEI,Outros créditos,31359.940000000002,57808.87289284861
304,2012-09-30,Empresário,Veículos,25796885299.04,47553945042.101425
254,2012-10-31,MEI,Outros créditos,31641.090000000004,57996.541496492144
253,2012-10-31,MEI,Empréstimo sem consignação em folha,7637.28,13998.753723096437
252,2012-10-31,MEI,Empréstimo com consignação em folha,39308.67,72050.83360993302
251,2012-10-31,MEI,Cartão de crédito,8799.7,16129.4116671291
250,2012-10-31,Empresário,Veículos,25656930990.26,47027876184.077385
248,2012-10-31,Empresário,Outros créditos,19779018507.91,36253955462.78236
247,2012-10-31,Empresário,Habitacional,32550914257.29,59664204029.370575
246,2012-10-31,Empresário,Empréstimo sem consignação em folha,13588990764.1,24907943017.941986
245,2012-10-31,Empresário,Empréstimo com consignação em folha,4692906905.92,8601864540.961256
255,2012-10-31,MEI,Veículos,36171.12,66299.8607840184
249,2012-10-31,Empresário,Rural e agroindustrial,43539620098.729996,79805954339.67342
256,2012-10-31,Outros,Cartão de crédito,40780330041.25,74748313142.11996
244,2012-10-31,Empresário,Cartão de crédito,14727734423.74,26995203409.73565
258,2012-10-31,Outros,Empréstimo sem consignação em folha,32216310404.07,59050891837.5921
259,2012-10-31,Outros,Habitacional,83373430324.73,152819343819.47964
260,2012-10-31,Outros,Outros créditos,30399145122.62,55720118414.43886
261,2012-10-31,Outros,Rural e agroindustrial,44663739755.94,81866409663.63358
262,2012-10-31,Outros,Veículos,104743251009.66,191989160413.2234
263,2012-10-31,Servidor ou empregado público,Cartão de crédito,14401526043.26,26397279701.196793
264,2012-10-31,Servidor ou empregado público,Empréstimo com consignação em folha,62273925128.48,114145002048.39134
265,2012-10-31,Servidor ou empregado público,Empréstimo sem consignação em folha,14094957079.32,25835354064.66901
266,2012-10-31,Servidor ou empregado público,Habitacional,39345391317.71,72118141955.70662
267,2012-10-31,Servidor ou empregado público,Outros créditos,8078730279.09,14807910090.01936
269,2012-10-31,Servidor ou empregado público,Veículos,23434002876.79,42953359706.402885
257,2012-10-31,Outros,Empréstimo com consignação em folha,71870858892.56,131735703484.01039
243,2012-10-31,Empregado de entidades sem fins lucrativos,Veículos,191247941.52,350547948.14222205
268,2012-10-31,Servidor ou empregado público,Rural e agroindustrial,2924327096.63,5360145867.573404
241,2012-10-31,Empregado de entidades sem fins lucrativos,Outros créditos,83680637.67,153382439.57717884
242,2012-10-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,93112295.05,170670197.6354463
217,2012-10-31,Aposentado/pensionista,Empréstimo com consignação em folha,25953859830.16,47572131953.54568
218,2012-10-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7589474045.45,13911127790.271793
219,2012-10-31,Aposentado/pensionista,Habitacional,3876931921.95,7106223050.168252
220,2012-10-31,Aposentado/pensionista,Outros créditos,3616654372.81,6629147270.5632105
221,2012-10-31,Aposentado/pensionista,Rural e agroindustrial,2038377160.19,3736243775.308029
222,2012-10-31,Aposentado/pensionista,Veículos,8402133274.53,15400691667.554325
223,2012-10-31,Autônomo,Cartão de crédito,7829792210.93,14351619014.076715
224,2012-10-31,Autônomo,Empréstimo com consignação em folha,3389991398.12,6213685331.1253805
225,2012-10-31,Autônomo,Empréstimo sem consignação em folha,7111917834.38,13035791048.95761
226,2012-10-31,Autônomo,Habitacional,18198578488.29,33357087650.055042
227,2012-10-31,Autônomo,Outros créditos,9213098580.93,16887150668.96177
216,2012-10-31,Aposentado/pensionista,Cartão de crédito,6201882150.940001,11367740982.480238
229,2012-10-31,Autônomo,Veículos,17259929818.98,31636591406.080368
240,2012-10-31,Empregado de entidades sem fins lucrativos,Habitacional,366442267.28,671670418.4455459
239,2012-10-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,86152110.37,157912525.8985729
238,2012-10-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,105354022.9,193108674.85735267
228,2012-10-31,Autônomo,Rural e agroindustrial,17731808149.32,32501520874.90901
236,2012-10-31,Empregado de empresa privada,Veículos,28481550042.18,52205262173.51266
237,2012-10-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,120965848.67,221724373.65615544
234,2012-10-31,Empregado de empresa privada,Outros créditos,11005645767.21,20172800350.230907
233,2012-10-31,Empregado de empresa privada,Habitacional,55527999783.49,101780056997.41646
232,2012-10-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10567958945.05,19370542212.351646
231,2012-10-31,Empregado de empresa privada,Empréstimo com consignação em folha,11580288617.17,21226092063.42308
230,2012-10-31,Empregado de empresa privada,Cartão de crédito,14965283669.61,27430619341.85303
235,2012-10-31,Empregado de empresa privada,Rural e agroindustrial,3120962648.15,5720569036.415416
177,2012-11-30,Empregado de empresa privada,Empréstimo com consignação em folha,11708503995.58,21335221546.55198
178,2012-11-30,Empregado de empresa privada,Empréstimo sem consignação em folha,10548462166.12,19221394755.004597
179,2012-11-30,Empregado de empresa privada,Habitacional,56585694700.89,103110383125.35814
180,2012-11-30,Empregado de empresa privada,Outros créditos,11036577620.880001,20110838134.921616
186,2012-11-30,Empregado de entidades sem fins lucrativos,Habitacional,376287338.6,685670324.5114903
182,2012-11-30,Empregado de empresa privada,Veículos,28374859879.32,51704634691.6904
183,2012-11-30,Empregado de entidades sem fins lucrativos,Cartão de crédito,123033974.05,224192355.83815038
184,2012-11-30,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,106898342.1,194790027.19079876
185,2012-11-30,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,87991962.06,160338844.78961563
176,2012-11-30,Empregado de empresa privada,Cartão de crédito,15323594066.07,27922634216.3312
181,2012-11-30,Empregado de empresa privada,Rural e agroindustrial,3233791394.43,5892610692.3260765
175,2012-11-30,Autônomo,Veículos,17138500667.93,31229754788.83136
168,2012-11-30,Aposentado/pensionista,Veículos,8335167109.8,15188331231.91902
173,2012-11-30,Autônomo,Outros créditos,9427729083.18,17179196312.906303
172,2012-11-30,Autônomo,Habitacional,18593284652.920002,33880660372.828636
171,2012-11-30,Autônomo,Empréstimo sem consignação em folha,7130090492.93,12992442106.27183
170,2012-11-30,Autônomo,Empréstimo com consignação em folha,3451184398.29,6288743955.958599
169,2012-11-30,Autônomo,Cartão de crédito,7970546461.0,14523919935.178442
167,2012-11-30,Aposentado/pensionista,Rural e agroindustrial,2069175808.02,3770449606.5029135
166,2012-11-30,Aposentado/pensionista,Outros créditos,3686861835.28,6718195091.099636
165,2012-11-30,Aposentado/pensionista,Habitacional,3916474489.3,7136594986.189377
164,2012-11-30,Aposentado/pensionista,Empréstimo sem consignação em folha,7610794888.23,13868381062.777157
163,2012-11-30,Aposentado/pensionista,Empréstimo com consignação em folha,26128782984.89,47611836143.61409
162,2012-11-30,Aposentado/pensionista,Cartão de crédito,6359483470.54,11588242940.07383
187,2012-11-30,Empregado de entidades sem fins lucrativos,Outros créditos,83721599.37,152557395.1603826
174,2012-11-30,Autônomo,Rural e agroindustrial,18260687468.03,33274602192.546463
188,2012-11-30,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,96673974.75,176159197.61018535
189,2012-11-30,Empregado de entidades sem fins lucrativos,Veículos,190735170.91,347557393.294695
190,2012-11-30,Empresário,Cartão de crédito,15044514009.82,27414094881.881157
215,2012-11-30,Servidor ou empregado público,Veículos,23364977043.71,42575632364.80409
214,2012-11-30,Servidor ou empregado público,Rural e agroindustrial,2983231663.07,5436041058.730856
213,2012-11-30,Servidor ou empregado público,Outros créditos,8281651914.37,15090815908.779778
212,2012-11-30,Servidor ou empregado público,Habitacional,40086784422.98,73046089156.73692
211,2012-11-30,Servidor ou empregado público,Empréstimo sem consignação em folha,14147691361.45,25779905757.620487
210,2012-11-30,Servidor ou empregado público,Empréstimo com consignação em folha,63239332608.41,115234633917.8646
209,2012-11-30,Servidor ou empregado público,Cartão de crédito,14818415009.13,27002097561.557724
207,2012-11-30,Outros,Rural e agroindustrial,45948404961.67,83727126876.15698
206,2012-11-30,Outros,Outros créditos,31150044439.78,56761572576.524895
205,2012-11-30,Outros,Habitacional,85976533387.06999,156666333146.41446
204,2012-11-30,Outros,Empréstimo sem consignação em folha,32130946117.39,58548970404.214424
203,2012-11-30,Outros,Empréstimo com consignação em folha,72929523813.86,132892088386.4091
208,2012-11-30,Outros,Veículos,104610738443.43,190621558627.94498
201,2012-11-30,MEI,Veículos,36065.5,65718.50963860509
202,2012-11-30,Outros,Cartão de crédito,41705451223.97,75995621806.01535
192,2012-11-30,Empresário,Empréstimo sem consignação em folha,13607758359.47,24796040507.03964
193,2012-11-30,Empresário,Habitacional,33291159813.59,60663110371.12356
194,2012-11-30,Empresário,Outros créditos,20308710904.87,37006507974.36173
195,2012-11-30,Empresário,Rural e agroindustrial,44884148935.99,81787840858.17317
191,2012-11-30,Empresário,Empréstimo com consignação em folha,4778270383.39,8706958401.981865
197,2012-11-30,MEI,Cartão de crédito,9908.52,18055.29292881871
198,2012-11-30,MEI,Empréstimo com consignação em folha,38352.219999999994,69885.36800354639
199,2012-11-30,MEI,Empréstimo sem consignação em folha,6849.179999999999,12480.567352360044
200,2012-11-30,MEI,Outros créditos,32666.97,59525.712462298405
196,2012-11-30,Empresário,Veículos,25476636049.0,46423494800.9993
69,2012-12-31,Empregado de empresa privada,Empréstimo com consignação em folha,11718940667.210001,21226862527.817986
70,2012-12-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10290127009.94,18638810250.567245
71,2012-12-31,Empregado de empresa privada,Habitacional,57911629800.19,104897041416.89993
72,2012-12-31,Empregado de empresa privada,Outros créditos,10813067831.64,19586028369.306366
