,data_base,porte,modalidade,longo_prazo,numero_de_operacoes,longo_prazo_deflacionado
57,2012-06-30,Sem rendimento,Empréstimo sem consignação em folha,8016039452.05,5105265.0,14992095027.42065
58,2012-06-30,Sem rendimento,Habitacional,7372996864.360001,66888.0,13789436827.07191
59,2012-06-30,Sem rendimento,Outros créditos,4736956687.57,5094373.0,8859350708.742273
60,2012-06-30,Sem rendimento,Rural e agroindustrial,8871964829.97,536916.0,16592899848.668869
47,2012-06-30,Mais de 3 a 5 salários mínimos,Veículos,15808811097.23,2020386.0,29566620730.59068
31,2012-06-30,Mais de 1 a 2 salários mínimos,Outros créditos,1144953303.31,3647241.0,2141362804.8939934
61,2012-06-30,Sem rendimento,Veículos,21873268910.14,2770737.0,40908746522.8582
29,2012-06-30,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2013066257.54,3911034.0,3764961588.5829453
30,2012-06-30,Mais de 1 a 2 salários mínimos,Habitacional,960452354.92,8888.0,1796297667.9946573
1,2012-06-30,Acima de 20 salários mínimos,Empréstimo com consignação em folha,25886434356.81,4618448.0,48414417883.02735
2,2012-06-30,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,8071744167.03,2648231.0,15096277446.363457
3,2012-06-30,Acima de 20 salários mínimos,Habitacional,154522191783.49,2830160.0,288997003685.0251
4,2012-06-30,Acima de 20 salários mínimos,Outros créditos,10454210687.88,6223860.0,19552114358.58037
5,2012-06-30,Acima de 20 salários mínimos,Rural e agroindustrial,21584828645.46,467483.0,40369287618.78419
6,2012-06-30,Acima de 20 salários mínimos,Veículos,14578018751.59,1251236.0,27264716415.469334
7,2012-06-30,Até 1 salário mínimo,Cartão de crédito,41392075.07,37227975.0,77414030.52512054
9,2012-06-30,Até 1 salário mínimo,Empréstimo sem consignação em folha,2141972871.55,3040924.0,4006050747.195647
10,2012-06-30,Até 1 salário mínimo,Habitacional,1715602558.61,13597.0,3208626497.139986
11,2012-06-30,Até 1 salário mínimo,Outros créditos,1109968036.68,3763535.0,2075931185.5744963
12,2012-06-30,Até 1 salário mínimo,Rural e agroindustrial,1712573153.12,235543.0,3202960714.772728
13,2012-06-30,Até 1 salário mínimo,Veículos,11481939220.58,1409143.0,21474236114.192448
14,2012-06-30,Indisponível,Empréstimo com consignação em folha,212337633.03,53611.0,397127034.0329006
8,2012-06-30,Até 1 salário mínimo,Empréstimo com consignação em folha,11952896007.91,9079544.0,22355048758.852577
16,2012-06-30,Indisponível,Habitacional,601597734.75,15848.0,1125145461.3720064
15,2012-06-30,Indisponível,Empréstimo sem consignação em folha,3582429.2600000002,2416.0,6700081.781807733
27,2012-06-30,Mais de 1 a 2 salários mínimos,Cartão de crédito,42608794.04,25507814.0,79689613.93872768
26,2012-06-30,Mais de 10 a 20 salários mínimos,Veículos,9377503904.64,778819.0,17538390435.742847
25,2012-06-30,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,5115803897.78,226294.0,9567894299.41647
23,2012-06-30,Mais de 10 a 20 salários mínimos,Habitacional,10284780747.01,79719.0,19235235956.321053
22,2012-06-30,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,5722928632.68,1521446.0,10703376699.866812
24,2012-06-30,Mais de 10 a 20 salários mínimos,Outros créditos,1786857384.1299999,1093546.0,3341891698.957939
28,2012-06-30,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,9704264105.199999,6125726.0,18149517664.753895
20,2012-06-30,Mais de 10 a 20 salários mínimos,Cartão de crédito,50853009.42,13674675.0,95108457.76338902
19,2012-06-30,Indisponível,Veículos,2258212307.03,372609.0,4223448961.4976273
18,2012-06-30,Indisponível,Rural e agroindustrial,627887348.86,20270.0,1174313931.0793934
17,2012-06-30,Indisponível,Outros créditos,2350395.69,10479.0,4395856.051769858
21,2012-06-30,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,9394119386.39,964486.0,17569465742.04747
146,2012-07-31,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,7385782849.6,1798098.0,13802323786.677263
143,2012-07-31,Indisponível,Veículos,1928266083.26,333114.0,3603484338.760906
144,2012-07-31,Mais de 10 a 20 salários mínimos,Cartão de crédito,156077154.21,16910625.0,291672184.5168041
145,2012-07-31,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,14224989240.07,1269282.0,26583222300.40646
147,2012-07-31,Mais de 10 a 20 salários mínimos,Habitacional,37201999255.01,346826.0,69521951793.80113
153,2012-07-31,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2391840956.07,4800891.0,4469798800.502478
149,2012-07-31,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,5244292886.25,224815.0,9800373220.0319
150,2012-07-31,Mais de 10 a 20 salários mínimos,Veículos,10323038314.27,851330.0,19291376442.721455
151,2012-07-31,Mais de 1 a 2 salários mínimos,Cartão de crédito,96515620.05,29208342.0,180365421.72021294
152,2012-07-31,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,13484358055.87,7380346.0,25199153526.790646
142,2012-07-31,Indisponível,Rural e agroindustrial,609103022.61,20004.0,1138272991.3271592
148,2012-07-31,Mais de 10 a 20 salários mínimos,Outros créditos,3882962475.0,1744262.0,7256360824.955782
141,2012-07-31,Indisponível,Outros créditos,2077639.23,7454.0,3882628.2803475442
126,2012-07-31,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,8430678615.719999,1470062.0,15754992851.14854
138,2012-07-31,Indisponível,Empréstimo com consignação em folha,190290267.75,50066.0,355608598.6309838
137,2012-07-31,Até 1 salário mínimo,Veículos,12068726446.45,1490233.0,22553664722.996735
136,2012-07-31,Até 1 salário mínimo,Rural e agroindustrial,1727504844.43,230899.0,3228307911.485337
135,2012-07-31,Até 1 salário mínimo,Outros créditos,1507660804.72,4844348.0,2817470132.9534526
134,2012-07-31,Até 1 salário mínimo,Habitacional,8611192318.03,293498.0,16092331305.033552
133,2012-07-31,Até 1 salário mínimo,Empréstimo sem consignação em folha,2452433387.17,3362104.0,4583032071.787921
132,2012-07-31,Até 1 salário mínimo,Empréstimo com consignação em folha,14517609369.01,9999437.0,27130061795.741455
131,2012-07-31,Até 1 salário mínimo,Cartão de crédito,60132809.09,39429325.0,112374343.81212272
130,2012-07-31,Acima de 20 salários mínimos,Veículos,13525607344.1,1149422.0,25276238927.717545
129,2012-07-31,Acima de 20 salários mínimos,Rural e agroindustrial,22070062636.48,453459.0,41243854132.19163
128,2012-07-31,Acima de 20 salários mínimos,Outros créditos,6506533544.87,1881932.0,12159209733.608187
127,2012-07-31,Acima de 20 salários mínimos,Habitacional,36052680538.5,217764.0,67374140331.91683
154,2012-07-31,Mais de 1 a 2 salários mínimos,Habitacional,14552918006.17,516141.0,27196045490.696014
140,2012-07-31,Indisponível,Habitacional,579984371.63,15039.0,1083856952.1284204
155,2012-07-31,Mais de 1 a 2 salários mínimos,Outros créditos,1876354747.91,5168718.0,3506474032.163781
170,2012-07-31,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,4238958051.67,413659.0,7921634407.442754
157,2012-07-31,Mais de 1 a 2 salários mínimos,Veículos,13669065686.32,2094634.0,25544329464.569386
125,2012-07-31,Acima de 20 salários mínimos,Empréstimo com consignação em folha,13301162895.34,1178906.0,24856804046.27155
185,2012-07-31,Sem rendimento,Veículos,16045874648.220001,2084668.0,29986036936.783623
184,2012-07-31,Sem rendimento,Rural e agroindustrial,8392741107.360001,508221.0,15684096402.565187
183,2012-07-31,Sem rendimento,Outros créditos,2172703902.83,2586902.0,4060282216.537296
182,2012-07-31,Sem rendimento,Habitacional,900411481.05,12157.0,1682661277.1815763
181,2012-07-31,Sem rendimento,Empréstimo sem consignação em folha,2675558770.96,2522650.0,5000001925.195268
180,2012-07-31,Sem rendimento,Empréstimo com consignação em folha,12004521647.69,4828678.0,22433680770.152523
179,2012-07-31,Sem rendimento,Cartão de crédito,142793599.66,16485430.0,266848286.40463313
178,2012-07-31,Mais de 5 a 10 salários mínimos,Veículos,20145446445.34,2040627.0,37647190599.546005
177,2012-07-31,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,6169219799.29,396079.0,11528848182.368675
176,2012-07-31,Mais de 5 a 10 salários mínimos,Outros créditos,4255569083.03,3515735.0,7952676591.857069
175,2012-07-31,Mais de 5 a 10 salários mínimos,Habitacional,35796676423.67,520221.0,66895727717.36281
174,2012-07-31,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,8391953452.58,3841784.0,15682624457.542286
156,2012-07-31,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,2459733569.11,341497.0,4596674427.228007
173,2012-07-31,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,21224004896.76,3441224.0,39662767454.768906
171,2012-07-31,Mais de 3 a 5 salários mínimos,Veículos,17622730701.68,2241807.0,32932817021.98687
169,2012-07-31,Mais de 3 a 5 salários mínimos,Outros créditos,2802079817.96,3839958.0,5236440565.767809
168,2012-07-31,Mais de 3 a 5 salários mínimos,Habitacional,30716529286.31,610668.0,57402105023.37828
167,2012-07-31,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4551697300.23,4020356.0,8506071894.61597
166,2012-07-31,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,17855544441.22,4764760.0,33367892176.58504
165,2012-07-31,Mais de 3 a 5 salários mínimos,Cartão de crédito,133034060.71,21990066.0,248609960.2394002
164,2012-07-31,Mais de 2 a 3 salários mínimos,Veículos,10547204435.5,1798358.0,19710291194.24134
163,2012-07-31,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,2444805638.18,281412.0,4568777569.121466
162,2012-07-31,Mais de 2 a 3 salários mínimos,Outros créditos,1836023443.85,3441137.0,3431104131.8145986
161,2012-07-31,Mais de 2 a 3 salários mínimos,Habitacional,24959714875.59,625068.0,46643947344.68747
160,2012-07-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2396393253.48,3244487.0,4478305993.8637705
159,2012-07-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,10625478624.11,3974929.0,19856567590.032368
158,2012-07-31,Mais de 2 a 3 salários mínimos,Cartão de crédito,94269082.89,18232761.0,176167162.18394703
172,2012-07-31,Mais de 5 a 10 salários mínimos,Cartão de crédito,207925568.16,24648475.0,388564905.53720766
124,2012-07-31,Acima de 20 salários mínimos,Cartão de crédito,124377480.83,11383311.0,232432810.05477673
139,2012-07-31,Indisponível,Empréstimo sem consignação em folha,3035383.07,1893.0,5672430.506267515
373,2012-08-31,Acima de 20 salários mínimos,Empréstimo com consignação em folha,14303538164.91,1583318.0,26615532433.45634
406,2012-08-31,Mais de 2 a 3 salários mínimos,Cartão de crédito,95980290.18,18676884.0,178596826.6596655
407,2012-08-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,10922796396.6,4036253.0,20324764293.001526
408,2012-08-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2495610594.29,3300287.0,4643746459.638344
409,2012-08-31,Mais de 2 a 3 salários mínimos,Habitacional,26494219475.05,645710.0,49299533416.64963
410,2012-08-31,Mais de 2 a 3 salários mínimos,Outros créditos,2027308308.39,3616521.0,3772345654.094255
411,2012-08-31,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,2601916328.14,282633.0,4841556517.158812
412,2012-08-31,Mais de 2 a 3 salários mínimos,Veículos,10465192078.44,1811576.0,19473269898.31
413,2012-08-31,Mais de 3 a 5 salários mínimos,Cartão de crédito,148291966.41,22914429.0,275936596.6729119
414,2012-08-31,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,18456887250.65,4859046.0,34343941728.02998
415,2012-08-31,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4657707862.76,4087839.0,8666902780.108982
416,2012-08-31,Mais de 3 a 5 salários mínimos,Habitacional,32789434681.49,633623.0,61013453606.94443
417,2012-08-31,Mais de 3 a 5 salários mínimos,Outros créditos,3113494595.29,4067506.0,5793483781.909665
419,2012-08-31,Mais de 3 a 5 salários mínimos,Veículos,16905561530.92,2180585.0,31457288123.006466
405,2012-08-31,Mais de 1 a 2 salários mínimos,Veículos,13713682400.04,2134605.0,25517949090.093586
420,2012-08-31,Mais de 5 a 10 salários mínimos,Cartão de crédito,210776687.51,24382621.0,392206019.09542954
422,2012-08-31,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,8491615273.93,3911326.0,15800905980.74335
423,2012-08-31,Mais de 5 a 10 salários mínimos,Habitacional,37844101538.8,537154.0,70419004046.98114
424,2012-08-31,Mais de 5 a 10 salários mínimos,Outros créditos,4600617909.49,3749969.0,8560671756.332651
425,2012-08-31,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,6613647616.9800005,424494.0,12306448280.3993
426,2012-08-31,Mais de 5 a 10 salários mínimos,Veículos,19541986461.79,1982787.0,36363057062.616585
427,2012-08-31,Sem rendimento,Cartão de crédito,144425059.87,16440097.0,268741189.8270029
428,2012-08-31,Sem rendimento,Empréstimo com consignação em folha,11378503750.92,4575364.0,21172728882.547882
429,2012-08-31,Sem rendimento,Empréstimo sem consignação em folha,2313499383.38,2330806.0,4304880174.626295
430,2012-08-31,Sem rendimento,Habitacional,978235498.3100001,12634.0,1820267008.9489677
431,2012-08-31,Sem rendimento,Outros créditos,1242682294.34,2225515.0,2312340522.1952868
432,2012-08-31,Sem rendimento,Rural e agroindustrial,7606093863.01,394609.0,14153158160.509558
433,2012-08-31,Sem rendimento,Veículos,19502539983.16,2446208.0,36289656410.32637
372,2012-08-31,Acima de 20 salários mínimos,Cartão de crédito,117210424.21,10627223.0,218101130.72257882
421,2012-08-31,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,22175969602.72,3558691.0,41264282403.39162
404,2012-08-31,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,2643036986.98,339419.0,4918072426.469003
418,2012-08-31,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,4525629404.09,422661.0,8421135721.6397505
402,2012-08-31,Mais de 1 a 2 salários mínimos,Habitacional,15890562766.96,534538.0,29568613292.301357
403,2012-08-31,Mais de 1 a 2 salários mínimos,Outros créditos,2120145688.82,5401290.0,3945094262.2626543
375,2012-08-31,Acima de 20 salários mínimos,Habitacional,37743989843.55,222842.0,70232719643.69753
376,2012-08-31,Acima de 20 salários mínimos,Outros créditos,7157389384.62,2041160.0,13318224281.916918
377,2012-08-31,Acima de 20 salários mínimos,Rural e agroindustrial,23647425179.79,549227.0,44002316390.8126
378,2012-08-31,Acima de 20 salários mínimos,Veículos,14026075783.12,1167318.0,26099239965.3653
379,2012-08-31,Até 1 salário mínimo,Cartão de crédito,66201058.86,39135823.0,123184656.05524315
380,2012-08-31,Até 1 salário mínimo,Empréstimo com consignação em folha,13467436936.72,9553081.0,25059743991.465374
381,2012-08-31,Até 1 salário mínimo,Empréstimo sem consignação em folha,2381710509.64,3217284.0,4431805095.045594
382,2012-08-31,Até 1 salário mínimo,Habitacional,4991049624.94,253619.0,9287173679.549273
374,2012-08-31,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,8872698971.0,1455309.0,16510013432.500328
384,2012-08-31,Até 1 salário mínimo,Rural e agroindustrial,1670936396.85,212823.0,3109221043.9027185
385,2012-08-31,Até 1 salário mínimo,Veículos,10504070262.69,1343531.0,19545613087.9411
386,2012-08-31,Indisponível,Empréstimo com consignação em folha,175535178.95,50945.0,326629830.6539097
387,2012-08-31,Indisponível,Empréstimo sem consignação em folha,206283.3,504.0,383844.8779826743
383,2012-08-31,Até 1 salário mínimo,Outros créditos,1429298947.28,4470217.0,2659590378.956786
400,2012-08-31,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,13991373288.34,7539301.0,26034666755.24832
401,2012-08-31,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2529279015.65,4804474.0,4706395501.459948
388,2012-08-31,Indisponível,Habitacional,571783389.1800001,15374.0,1063954887.5372708
399,2012-08-31,Mais de 1 a 2 salários mínimos,Cartão de crédito,111157736.87,31279396.0,206838498.05435228
398,2012-08-31,Mais de 10 a 20 salários mínimos,Veículos,10319193428.84,840135.0,19201600626.772522
397,2012-08-31,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,5617613237.66,260006.0,10453061725.129753
395,2012-08-31,Mais de 10 a 20 salários mínimos,Habitacional,38586800224.38,355615.0,71800992246.43474
396,2012-08-31,Mais de 10 a 20 salários mínimos,Outros créditos,4156152408.0,1879600.0,7733625620.329702
393,2012-08-31,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,14725642222.15,1305907.0,27400969162.204033
392,2012-08-31,Mais de 10 a 20 salários mínimos,Cartão de crédito,153951745.51,16001434.0,286468119.1861177
391,2012-08-31,Indisponível,Veículos,1582179910.82,251615.0,2944066023.838776
390,2012-08-31,Indisponível,Rural e agroindustrial,593443338.76,19551.0,1104258977.6097388
389,2012-08-31,Indisponível,Outros créditos,1913062.33,5437.0,3559760.6623129486
394,2012-08-31,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,7437414673.08,1804570.0,13839285718.69339
330,2012-09-30,Mais de 10 a 20 salários mínimos,Cartão de crédito,188621543.59,16673138.0,349547401.02651334
326,2012-09-30,Indisponível,Habitacional,567878798.23,14999.0,1052374793.6812029
327,2012-09-30,Indisponível,Outros créditos,1752676.4100000001,4121.0,3248003.766142755
328,2012-09-30,Indisponível,Rural e agroindustrial,579365574.44,19316.0,1073661719.3099442
329,2012-09-30,Indisponível,Veículos,1472937991.5,242155.0,2729601491.975775
331,2012-09-30,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,13930329161.19,1364145.0,25815239664.892483
337,2012-09-30,Mais de 1 a 2 salários mínimos,Cartão de crédito,121583842.21000001,34696399.0,225315280.7597761
333,2012-09-30,Mais de 10 a 20 salários mínimos,Habitacional,39127986159.81,355443.0,72510730265.74509
334,2012-09-30,Mais de 10 a 20 salários mínimos,Outros créditos,4286871596.12,1962188.0,7944293087.831405
335,2012-09-30,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,5773977594.48,279432.0,10700150276.168161
336,2012-09-30,Mais de 10 a 20 salários mínimos,Veículos,10982439547.48,917899.0,20352305085.027172
338,2012-09-30,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,13973442993.42,8033001.0,25895136837.386456
332,2012-09-30,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,7661954184.75,1902869.0,14198888001.28327
325,2012-09-30,Indisponível,Empréstimo sem consignação em folha,187065.11,294.0,346663.06816664955
311,2012-09-30,Acima de 20 salários mínimos,Empréstimo com consignação em folha,12245382647.08,1227211.0,22692750771.704044
323,2012-09-30,Até 1 salário mínimo,Veículos,2908578238.53,401487.0,5390083998.943251
322,2012-09-30,Até 1 salário mínimo,Rural e agroindustrial,1800811583.4,226934.0,3337206327.206
321,2012-09-30,Até 1 salário mínimo,Outros créditos,869552892.53,3118009.0,1611427559.4077094
320,2012-09-30,Até 1 salário mínimo,Habitacional,5167595304.97,258164.0,9576422046.123264
319,2012-09-30,Até 1 salário mínimo,Empréstimo sem consignação em folha,1863865760.31,2300873.0,3454056307.559596
318,2012-09-30,Até 1 salário mínimo,Empréstimo com consignação em folha,11813758326.35,8739556.0,21892878410.04554
317,2012-09-30,Até 1 salário mínimo,Cartão de crédito,37117652.25,6460976.0,68785243.87646496
316,2012-09-30,Acima de 20 salários mínimos,Veículos,14349273495.539999,1199235.0,26591613882.066414
315,2012-09-30,Acima de 20 salários mínimos,Rural e agroindustrial,23558278744.2,574883.0,43657447346.485596
314,2012-09-30,Acima de 20 salários mínimos,Outros créditos,7147288897.28,2026627.0,13245126780.7477
313,2012-09-30,Acima de 20 salários mínimos,Habitacional,38713903325.82,225584.0,71743365225.27274
312,2012-09-30,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,9154509495.76,1479944.0,16964843681.223558
310,2012-09-30,Acima de 20 salários mínimos,Cartão de crédito,134199864.28,10960811.0,248694888.63451213
339,2012-09-30,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2488860488.57,5033982.0,4612276512.741594
324,2012-09-30,Indisponível,Empréstimo com consignação em folha,161518456.96,47866.0,299320829.28396714
340,2012-09-30,Mais de 1 a 2 salários mínimos,Habitacional,16540370793.67,541460.0,30652085190.807003
356,2012-09-30,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,4641883663.18,445477.0,8602190075.694101
342,2012-09-30,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,2703005124.33,355969.0,5009122490.401411
341,2012-09-30,Mais de 1 a 2 salários mínimos,Outros créditos,2015935770.5,5714446.0,3735867578.0236554
371,2012-09-30,Sem rendimento,Veículos,15375748238.470001,2042208.0,28493843986.759304
370,2012-09-30,Sem rendimento,Rural e agroindustrial,6895353400.75,293291.0,12778247990.752184
369,2012-09-30,Sem rendimento,Outros créditos,1052313059.81,1618679.0,1950112845.6587634
368,2012-09-30,Sem rendimento,Habitacional,886514665.65,10864.0,1642860573.887672
367,2012-09-30,Sem rendimento,Empréstimo sem consignação em folha,2141461313.53,2079220.0,3968487492.448449
366,2012-09-30,Sem rendimento,Empréstimo com consignação em folha,11214126624.3,4429565.0,20781660152.388386
365,2012-09-30,Sem rendimento,Cartão de crédito,143147057.84,13757179.0,265275541.06611997
363,2012-09-30,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,6845616536.54,456344.0,12686077227.599041
362,2012-09-30,Mais de 5 a 10 salários mínimos,Outros créditos,4706313625.059999,3953987.0,8721589616.673073
361,2012-09-30,Mais de 5 a 10 salários mínimos,Habitacional,37418160931.7,528151.0,69342136936.9017
360,2012-09-30,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,8574340403.72,4088227.0,15889692908.84251
359,2012-09-30,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,22205514159.64,3740583.0,41150547361.818474
358,2012-09-30,Mais de 5 a 10 salários mínimos,Cartão de crédito,253259272.37,25539599.0,469331968.96758235
364,2012-09-30,Mais de 5 a 10 salários mínimos,Veículos,21591999277.13,2228878.0,40013601238.95881
355,2012-09-30,Mais de 3 a 5 salários mínimos,Outros créditos,3226506430.23,4395373.0,5979258337.179796
343,2012-09-30,Mais de 1 a 2 salários mínimos,Veículos,12167398515.07,2077131.0,22548233076.924404
357,2012-09-30,Mais de 3 a 5 salários mínimos,Veículos,20424037642.940002,2597390.0,37849172160.713066
344,2012-09-30,Mais de 2 a 3 salários mínimos,Cartão de crédito,112507440.7,24123024.0,208495184.29513332
345,2012-09-30,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,11152327781.89,4374810.0,20667136517.708473
346,2012-09-30,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2557591990.79,3574468.0,4739647530.45456
348,2012-09-30,Mais de 2 a 3 salários mínimos,Outros créditos,2283268461.88,4250297.0,4231279956.1792555
347,2012-09-30,Mais de 2 a 3 salários mínimos,Habitacional,26986971933.65,649603.0,50011391707.65927
350,2012-09-30,Mais de 2 a 3 salários mínimos,Veículos,15157260929.85,2405967.0,28088950306.897343
351,2012-09-30,Mais de 3 a 5 salários mínimos,Cartão de crédito,164539972.56,24661559.0,304920205.1826016
352,2012-09-30,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,18426236993.49,5070394.0,34146912007.958427
353,2012-09-30,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4686991590.54,4301974.0,8685782641.390911
354,2012-09-30,Mais de 3 a 5 salários mínimos,Habitacional,32970550498.1,632208.0,61099967785.62717
349,2012-09-30,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,2703777217.73,295390.0,5010553309.151926
288,2012-10-31,Mais de 2 a 3 salários mínimos,Veículos,15001317064.0,2412059.0,27642387722.557823
292,2012-10-31,Mais de 3 a 5 salários mínimos,Habitacional,33477943205.69,620771.0,61688602560.520706
291,2012-10-31,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4633232229.94,4375975.0,8537490485.818896
290,2012-10-31,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,18621715557.850002,5264570.0,34313565889.795456
289,2012-10-31,Mais de 3 a 5 salários mínimos,Cartão de crédito,166603240.04,16749580.0,306993801.76903445
287,2012-10-31,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,2693166357.2,301477.0,4962600838.943981
281,2012-10-31,Mais de 1 a 2 salários mínimos,Veículos,11979683085.3,2079247.0,22074531404.440044
285,2012-10-31,Mais de 2 a 3 salários mínimos,Habitacional,28747184814.34,669601.0,52971404122.70755
284,2012-10-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2393267986.25,3671450.0,4409988890.819946
283,2012-10-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,11090160750.73,4509342.0,20435440572.937923
